"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.952219180E-1,6.371270180E0,3.588908434E0,7.841310024E0,1.072191636E1
1.972346840E-1,6.364087582E0,3.543418407E0,7.941866398E0,1.077639395E1
1.992474840E-1,6.309020519E0,3.438073635E0,8.109460831E0,1.083454868E1
2.012602840E-1,6.206069946E0,3.335123062E0,8.212410927E0,1.082044561E1
2.032731170E-1,6.131849766E0,3.256114244E0,8.236352921E0,1.077215721E1
2.052859830E-1,5.933131218E0,3.002328873E0,8.245929718E0,1.059298738E1
2.072988160E-1,5.662586212E0,2.659958124E0,8.131008148E0,1.025931544E1
2.093116160E-1,5.576395035E0,2.533065319E0,8.061576843E0,1.012430850E1
2.113243820E-1,5.509357452E0,2.394201756E0,7.901165009E0,9.925403270E0
2.142643820E-1,5.380070686E0,2.224213362E0,7.697657585E0,9.651228832E0
2.161980960E-1,5.289090633E0,2.171540976E0,7.680898190E0,9.575294613E0
2.182100960E-1,5.083189487E0,2.114080191E0,7.700051785E0,9.465672079E0
2.202230960E-1,4.869806290E0,2.102109194E0,7.783848763E0,9.419245082E0
2.222360960E-1,4.747702122E0,2.106897593E0,7.841310024E0,9.405627879E0
2.242487620E-1,4.522646904E0,2.078166962E0,7.946654797E0,9.376696401E0
2.262617620E-1,4.319139957E0,1.972822189E0,7.989750385E0,9.294251373E0
2.282745620E-1,4.213795185E0,1.865083098E0,7.951443195E0,9.190215107E0
2.302872280E-1,4.098873138E0,1.747767210E0,7.798214436E0,8.981514327E0
2.322997990E-1,4.046200752E0,1.819593310E0,7.623437405E0,8.820400116E0
2.343121740E-1,4.036623955E0,1.884236693E0,7.522881031E0,8.742906832E0
2.363247290E-1,3.962403774E0,2.054224968E0,7.403171062E0,8.644502627E0
2.383372290E-1,3.799597979E0,2.202665567E0,7.328950882E0,8.544132573E0
2.403498650E-1,3.569754839E0,2.240972757E0,7.254730225E0,8.390245476E0
2.423624480E-1,3.447650433E0,2.269703150E0,7.214028835E0,8.311441387E0
2.443749860E-1,3.277662039E0,2.274491549E0,7.034463882E0,8.087030503E0
2.463874860E-1,3.268085241E0,2.286462545E0,6.893206120E0,7.963955219E0
2.483999520E-1,3.284844637E0,2.257732153E0,6.854898930E0,7.929514367E0
2.504124520E-1,3.332728863E0,2.145204782E0,6.766313076E0,7.841682082E0
2.524250400E-1,3.383007050E0,2.080561161E0,6.699275494E0,7.788052618E0
2.544376510E-1,3.447650433E0,2.097320795E0,6.692092896E0,7.814675639E0
2.564502290E-1,3.622427225E0,2.173935175E0,6.725611687E0,7.942406796E0
2.584627790E-1,3.715801001E0,2.240972757E0,6.859687328E0,8.116923445E0
2.604936830E-1,3.744531393E0,2.296039343E0,7.096713066E0,8.346055857E0
2.625238190E-1,3.770867586E0,2.322375536E0,7.242759228E0,8.489430588E0
2.645532100E-1,3.871424198E0,2.334346771E0,7.518092632E0,8.772617454E0
2.665818760E-1,3.967192173E0,2.322375536E0,7.767089367E0,9.025503814E0
2.686099560E-1,4.022258759E0,2.286462545E0,8.047211647E0,9.282461515E0
2.706374170E-1,4.046200752E0,2.169146776E0,8.174103737E0,9.375121875E0
2.726643790E-1,4.129997730E0,2.061407566E0,8.447042465E0,9.625944567E0
2.746908430E-1,4.264073372E0,1.989581585E0,8.710405350E0,9.900096866E0
2.767168430E-1,4.302380562E0,1.972822189E0,8.839692116E0,1.002709642E1
2.787424090E-1,4.331110954E0,1.889025092E0,9.098265648E0,1.025209128E1
2.807680090E-1,4.304774761E0,1.774103403E0,9.373599052E0,1.046627383E1
2.827935750E-1,4.278438568E0,1.714248419E0,9.514857292E0,1.057242609E1
2.848192080E-1,4.244919777E0,1.570596337E0,9.783007622E0,1.077930215E1
2.868448410E-1,4.292803764E0,1.412579060E0,1.004636955E1,1.101603762E1
2.888705410E-1,4.321534157E0,1.331176162E0,1.015410900E1,1.111546747E1
2.908962740E-1,4.338293552E0,1.127668977E0,1.037676907E1,1.130352885E1
2.929220400E-1,4.491522312E0,9.983820915E-1,1.069040966E1,1.163853076E1
2.949761730E-1,4.733336926E0,9.864110947E-1,1.094180107E1,1.196246195E1
2.970303060E-1,4.985027313E0,1.022324085E0,1.108545303E1,1.219766014E1
2.990844720E-1,5.135861874E0,1.022324085E0,1.122910500E1,1.239011795E1
3.011386050E-1,5.200505257E0,1.015141487E0,1.130571938E1,1.248579424E1
3.031927380E-1,5.377676487E0,9.672574997E-1,1.140627575E1,1.264745500E1
3.052468380E-1,5.535693645E0,9.169792533E-1,1.140627575E1,1.271172221E1
3.073009380E-1,5.660192013E0,9.074024558E-1,1.140867043E1,1.276788603E1
3.093550380E-1,6.237194538E0,8.810662031E-1,1.140627575E1,1.303004220E1
3.114091040E-1,7.065588474E0,9.074024558E-1,1.132966137E1,1.338309181E1
3.134631370E-1,7.769483566E0,1.077390790E0,1.133444977E1,1.378388180E1
