"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.650018364E0,3.711012602E0,3.462015629E0,3.945644379E0
6.652041230E0,3.526659012E0,3.483563423E0,3.790021181E0
6.654064096E0,3.174711466E0,3.514688015E0,3.641580820E0
6.656114862E0,2.861071110E0,3.557783842E0,3.478775024E0
6.658165662E0,2.580949545E0,3.632004023E0,3.299209833E0
6.660216428E0,2.336740971E0,3.691859007E0,3.100491285E0
6.662267161E0,2.231395960E0,3.722983599E0,3.007117271E0
6.664317894E0,2.051830769E0,3.761290789E0,2.782062292E0
6.666368627E0,1.922544003E0,3.821146011E0,2.571372509E0
6.668419393E0,1.872265697E0,3.847482204E0,2.468421936E0
6.670470159E0,1.819593310E0,3.904942989E0,2.276885748E0
6.672520959E0,1.838746905E0,4.012681961E0,2.123656988E0
6.674571725E0,1.889025092E0,4.113238335E0,1.987187386E0
6.676622491E0,1.927332401E0,4.161122322E0,1.920149803E0
6.678673324E0,2.020706177E0,4.295197964E0,1.829170108E0
6.680724190E0,2.114080191E0,4.429273129E0,1.752555609E0
6.682765856E0,2.164358377E0,4.493916512E0,1.733402014E0
6.684807556E0,2.267308950E0,4.604049683E0,1.726219416E0
6.686849222E0,2.346317768E0,4.726154327E0,1.735796213E0
6.688890855E0,2.394201756E0,4.778826714E0,1.757344007E0
6.690932421E0,2.463633537E0,4.886565685E0,1.843535304E0
6.692973954E0,2.554613113E0,4.982633114E0,1.920149803E0
6.695015454E0,2.624045134E0,5.061641693E0,1.984793186E0
6.697056920E0,2.659958124E0,5.087977886E0,2.023100376E0
6.699098320E0,2.777273893E0,5.140650272E0,2.102109194E0
6.701139686E0,2.834734917E0,5.152621269E0,2.147598982E0
6.703181986E0,2.964021683E0,5.174169064E0,2.238578558E0
6.705223219E0,3.095702887E0,5.183745861E0,2.317587137E0
6.707264452E0,3.201047659E0,5.205293655E0,2.394201756E0
6.709305652E0,3.241749048E0,5.217264652E0,2.430114746E0
6.711346852E0,3.277662039E0,5.245995045E0,2.494758129E0
6.713388052E0,3.280056238E0,5.224447250E0,2.590526342E0
6.715429252E0,3.268085241E0,5.226841450E0,2.633621931E0
6.717442518E0,3.232172251E0,5.224447250E0,2.726995707E0
6.719455718E0,3.124433279E0,5.178957462E0,2.846705914E0
6.721468918E0,3.040636063E0,5.152621269E0,2.908955097E0
6.723482184E0,2.849100113E0,5.052064896E0,3.040636063E0
6.725495450E0,2.571372509E0,4.939537525E0,3.174711466E0
6.727508750E0,2.408566952E0,4.874594688E0,3.232172251E0
6.729522016E0,2.042253971E0,4.728548527E0,3.313575268E0
6.731535282E0,1.628057122E0,4.563348293E0,3.347094059E0
6.733548482E0,1.204283476E0,4.393360138E0,3.366247654E0
6.735561748E0,1.003170490E0,4.307168961E0,3.366247654E0
6.738486748E0,4.429273009E-1,4.067748547E0,3.287238836E0
6.740492374E0,2.681505978E-1,4.015076160E0,3.248931646E0
6.742505374E0,-1.005564705E-1,3.885789394E0,3.148375273E0
6.744518374E0,-4.165911078E-1,3.782838583E0,3.011905670E0
6.746531874E0,-7.422025204E-1,3.730166197E0,2.906560898E0
6.748545540E0,-8.978256583E-1,3.653551817E0,2.612074137E0
6.750559040E0,-1.237802267E0,3.627215624E0,2.379836559E0
6.752572640E0,-1.561019540E0,3.622427225E0,2.185906172E0
6.754586306E0,-1.733402014E0,3.624821424E0,2.085349798E0
6.756599877E0,-2.123656988E0,3.634398222E0,1.723825216E0
6.758617877E0,-2.231395960E0,3.634398222E0,1.575384736E0
